
time,ax,ay,az,wx,wy,wz,
0.317,0.52,0.27,0.27,0.21,-0.15,0.05,
0.317,0.52,0.27,0.27,0.21,-0.15,0.05,
0.318,0.52,0.27,0.27,0.21,-0.15,0.05,
0.33,0.52,0.27,0.27,0.21,-0.39,-0.08,
0.331,0.52,0.27,0.27,0.21,-0.39,-0.08,
0.331,0.71,0.46,0.47,0.21,-0.39,-0.08,
0.332,0.71,0.46,0.47,0.21,-0.39,-0.08,
0.334,0.71,0.46,0.47,0.21,-0.39,-0.08,
0.335,0.71,0.46,0.47,0.21,-0.39,-0.08,
0.335,0.71,0.46,0.47,0.21,-0.39,-0.08,
0.335,0.71,0.46,0.47,0.21,-0.39,-0.08,
0.345,0.71,0.46,0.47,0.25,-0.66,-0.23,
0.346,0.71,0.46,0.47,0.25,-0.66,-0.23,
0.346,1.17,0.88,0.26,0.25,-0.66,-0.23,
0.347,1.17,0.88,0.26,0.25,-0.66,-0.23,
0.354,1.17,0.88,0.26,0.25,-0.66,-0.23,
0.354,1.17,0.88,0.26,0.25,-0.66,-0.23,
0.354,1.17,0.88,0.26,0.25,-0.66,-0.23,
0.355,1.17,0.88,0.26,0.25,-0.66,-0.23,
0.362,1.17,0.88,0.26,0.31,-0.78,-0.29,
0.363,1.17,0.88,0.26,0.31,-0.78,-0.29,
0.363,1.40,1.14,-0.65,0.31,-0.78,-0.29,
0.364,1.40,1.14,-0.65,0.31,-0.78,-0.29,
0.372,1.40,1.14,-0.65,0.40,-0.88,-0.35,
0.373,1.40,1.14,-0.65,0.40,-0.88,-0.35,
0.373,1.24,1.08,-1.12,0.40,-0.88,-0.35,
0.373,1.24,1.08,-1.12,0.40,-0.88,-0.35,
0.381,1.24,1.08,-1.12,0.52,-0.99,-0.42,
0.382,1.24,1.08,-1.12,0.52,-0.99,-0.42,
0.382,0.89,0.82,-1.39,0.52,-0.99,-0.42,
0.383,0.89,0.82,-1.39,0.52,-0.99,-0.42,
0.391,0.89,0.82,-1.39,0.65,-1.06,-0.48,
0.392,0.89,0.82,-1.39,0.65,-1.06,-0.48,
0.393,0.49,0.38,-1.39,0.65,-1.06,-0.48,
0.393,0.49,0.38,-1.39,0.65,-1.06,-0.48,
0.401,0.49,0.38,-1.39,0.75,-1.06,-0.53,
0.402,0.49,0.38,-1.39,0.75,-1.06,-0.53,
0.402,0.24,-0.05,-1.20,0.75,-1.06,-0.53,
0.403,0.24,-0.05,-1.20,0.75,-1.06,-0.53,
0.41,0.24,-0.05,-1.20,0.76,-0.96,-0.55,
0.411,0.24,-0.05,-1.20,0.76,-0.96,-0.55,
0.413,0.22,-0.51,-0.97,0.76,-0.96,-0.55,
0.414,0.22,-0.51,-0.97,0.76,-0.96,-0.55,
0.43,0.22,-0.51,-0.97,0.61,-0.75,-0.56,
0.431,0.22,-0.51,-0.97,0.61,-0.75,-0.56,
0.431,0.40,-0.93,-0.78,0.61,-0.75,-0.56,
0.432,0.40,-0.93,-0.78,0.61,-0.75,-0.56,
0.432,0.40,-0.93,-0.78,0.33,-0.52,-0.57,
0.433,0.40,-0.93,-0.78,0.33,-0.52,-0.57,
0.433,0.68,-1.28,-0.73,0.33,-0.52,-0.57,
0.434,0.68,-1.28,-0.73,0.33,-0.52,-0.57,
0.44,0.68,-1.28,-0.73,-0.06,-0.35,-0.63,
0.441,0.68,-1.28,-0.73,-0.06,-0.35,-0.63,
0.442,1.03,-1.58,-0.84,-0.06,-0.35,-0.63,
0.443,1.03,-1.58,-0.84,-0.06,-0.35,-0.63,
0.448,1.03,-1.58,-0.84,-0.50,-0.31,-0.72,
0.449,1.03,-1.58,-0.84,-0.50,-0.31,-0.72,
0.45,1.34,-1.81,-1.12,-0.50,-0.31,-0.72,
0.45,1.34,-1.81,-1.12,-0.50,-0.31,-0.72,
0.458,1.34,-1.81,-1.12,-0.92,-0.39,-0.83,
0.459,1.34,-1.81,-1.12,-0.92,-0.39,-0.83,
0.46,1.63,-1.97,-1.59,-0.92,-0.39,-0.83,
0.461,1.63,-1.97,-1.59,-0.92,-0.39,-0.83,
0.467,1.63,-1.97,-1.59,-1.28,-0.58,-0.94,
0.468,1.63,-1.97,-1.59,-1.28,-0.58,-0.94,
0.474,1.95,-2.09,-2.19,-1.28,-0.58,-0.94,
0.474,1.95,-2.09,-2.19,-1.28,-0.58,-0.94,
0.477,1.95,-2.09,-2.19,-1.56,-0.84,-1.03,
0.478,1.95,-2.09,-2.19,-1.56,-0.84,-1.03,
0.479,2.26,-2.23,-2.75,-1.56,-0.84,-1.03,
0.479,2.26,-2.23,-2.75,-1.56,-0.84,-1.03,
0.487,2.26,-2.23,-2.75,-1.75,-1.15,-1.11,
0.488,2.26,-2.23,-2.75,-1.75,-1.15,-1.11,
0.488,2.57,-2.36,-3.09,-1.75,-1.15,-1.11,
0.489,2.57,-2.36,-3.09,-1.75,-1.15,-1.11,
0.496,2.57,-2.36,-3.09,-1.87,-1.50,-1.19,
0.496,2.57,-2.36,-3.09,-1.87,-1.50,-1.19,
0.497,2.89,-2.45,-3.04,-1.87,-1.50,-1.19,
0.498,2.89,-2.45,-3.04,-1.87,-1.50,-1.19,
0.505,2.89,-2.45,-3.04,-1.95,-1.88,-1.26,
0.506,2.89,-2.45,-3.04,-1.95,-1.88,-1.26,
0.506,3.14,-2.48,-1.44,-1.95,-1.88,-1.26,
0.506,3.14,-2.48,-1.44,-1.95,-1.88,-1.26,
0.515,3.14,-2.48,-1.44,-1.85,-2.25,-1.25,
0.515,3.14,-2.48,-1.44,-1.85,-2.25,-1.25,
0.516,3.30,-2.36,-0.91,-1.85,-2.25,-1.25,
0.517,3.30,-2.36,-0.91,-1.85,-2.25,-1.25,
0.526,3.30,-2.36,-0.91,-1.70,-2.52,-1.17,
0.527,3.30,-2.36,-0.91,-1.70,-2.52,-1.17,
0.527,3.49,-2.10,0.66,-1.70,-2.52,-1.17,
0.528,3.49,-2.10,0.66,-1.70,-2.52,-1.17,
0.535,3.49,-2.10,0.66,-1.64,-2.63,-1.07,
0.536,3.49,-2.10,0.66,-1.64,-2.63,-1.07,
0.536,3.70,-1.75,0.73,-1.64,-2.63,-1.07,
0.536,3.70,-1.75,0.73,-1.64,-2.63,-1.07,
0.543,3.70,-1.75,0.73,-1.64,-2.63,-1.07,
0.545,3.70,-1.75,0.73,-1.64,-2.63,-1.07,
0.545,3.70,-1.75,0.73,-1.64,-2.63,-1.07,
0.545,3.70,-1.75,0.73,-1.64,-2.63,-1.07,
0.554,3.70,-1.75,0.73,-1.52,-2.55,-0.86,
0.555,3.70,-1.75,0.73,-1.52,-2.55,-0.86,
0.555,4.33,-1.38,-1.34,-1.52,-2.55,-0.86,
0.555,4.33,-1.38,-1.34,-1.52,-2.55,-0.86,
0.562,4.33,-1.38,-1.34,-1.34,-2.40,-0.66,
0.563,4.33,-1.38,-1.34,-1.34,-2.40,-0.66,
0.563,4.54,-1.72,-1.86,-1.34,-2.40,-0.66,
0.564,4.54,-1.72,-1.86,-1.34,-2.40,-0.66,
0.572,4.54,-1.72,-1.86,-1.10,-2.34,-0.55,
0.573,4.54,-1.72,-1.86,-1.10,-2.34,-0.55,
0.574,4.49,-3.54,-2.32,-1.10,-2.34,-0.55,
0.574,4.49,-3.54,-2.32,-1.10,-2.34,-0.55,
0.582,4.49,-3.54,-2.32,-0.93,-2.44,-0.55,
0.583,4.49,-3.54,-2.32,-0.93,-2.44,-0.55,
0.583,4.29,-3.84,-2.67,-0.93,-2.44,-0.55,
0.584,4.29,-3.84,-2.67,-0.93,-2.44,-0.55,
0.592,4.29,-3.84,-2.67,-0.99,-2.64,-0.57,
0.593,4.29,-3.84,-2.67,-0.99,-2.64,-0.57,
0.593,4.21,-4.16,-2.97,-0.99,-2.64,-0.57,
0.594,4.21,-4.16,-2.97,-0.99,-2.64,-0.57,
0.601,4.21,-4.16,-2.97,-1.27,-2.80,-0.50,
0.602,4.21,-4.16,-2.97,-1.27,-2.80,-0.50,
0.603,4.38,-4.14,-3.48,-1.27,-2.80,-0.50,
0.603,4.38,-4.14,-3.48,-1.27,-2.80,-0.50,
0.61,4.38,-4.14,-3.48,-1.66,-2.88,-0.30,
0.611,4.38,-4.14,-3.48,-1.66,-2.88,-0.30,
0.612,4.84,-3.69,-5.22,-1.66,-2.88,-0.30,
0.613,4.84,-3.69,-5.22,-1.66,-2.88,-0.30,
0.624,4.84,-3.69,-5.22,-1.42,-2.96,-0.06,
0.625,4.84,-3.69,-5.22,-1.42,-2.96,-0.06,
0.625,6.12,-2.15,-5.50,-1.42,-2.96,-0.06,
0.626,6.12,-2.15,-5.50,-1.42,-2.96,-0.06,
0.629,6.12,-2.15,-5.50,-1.10,-3.17,0.08,
