
time,ax,ay,az,wx,wy,wz,
0.378,-0.00,0.04,0.19,-0.00,0.09,0.02,
0.379,-0.00,0.04,0.19,-0.00,0.09,0.02,
0.379,0.03,0.03,0.27,-0.00,0.09,0.02,
0.379,0.03,0.03,0.27,-0.00,0.09,0.02,
0.388,0.03,0.03,0.27,0.02,0.09,0.02,
0.389,0.03,0.03,0.27,0.02,0.09,0.02,
0.39,0.04,0.03,0.32,0.02,0.09,0.02,
0.39,0.04,0.03,0.32,0.02,0.09,0.02,
0.397,0.04,0.03,0.32,0.03,0.07,0.03,
0.398,0.04,0.03,0.32,0.03,0.07,0.03,
0.398,0.06,0.09,0.33,0.03,0.07,0.03,
0.399,0.06,0.09,0.33,0.03,0.07,0.03,
0.407,0.06,0.09,0.33,0.02,0.04,0.03,
0.408,0.06,0.09,0.33,0.02,0.04,0.03,
0.409,0.09,0.17,0.22,0.02,0.04,0.03,
0.41,0.09,0.17,0.22,0.02,0.04,0.03,
0.426,0.09,0.17,0.22,0.01,0.01,0.04,
0.427,0.09,0.17,0.22,0.01,0.01,0.04,
0.428,0.11,0.28,0.06,0.01,0.01,0.04,
0.428,0.11,0.28,0.06,0.01,0.01,0.04,
0.429,0.11,0.28,0.06,0.02,-0.01,0.05,
0.429,0.11,0.28,0.06,0.02,-0.01,0.05,
0.43,0.14,0.34,-0.16,0.02,-0.01,0.05,
0.431,0.14,0.34,-0.16,0.02,-0.01,0.05,
0.435,0.14,0.34,-0.16,0.07,-0.03,0.06,
0.436,0.14,0.34,-0.16,0.07,-0.03,0.06,
0.437,0.16,0.37,-0.46,0.07,-0.03,0.06,
0.437,0.16,0.37,-0.46,0.07,-0.03,0.06,
0.445,0.16,0.37,-0.46,0.14,-0.04,0.10,
0.445,0.16,0.37,-0.46,0.14,-0.04,0.10,
0.446,0.22,0.43,-0.84,0.14,-0.04,0.10,
0.446,0.22,0.43,-0.84,0.14,-0.04,0.10,
0.456,0.22,0.43,-0.84,0.25,-0.03,0.16,
0.457,0.22,0.43,-0.84,0.25,-0.03,0.16,
0.458,0.33,0.47,-1.28,0.25,-0.03,0.16,
0.458,0.33,0.47,-1.28,0.25,-0.03,0.16,
0.464,0.33,0.47,-1.28,0.37,-0.02,0.24,
0.464,0.33,0.47,-1.28,0.37,-0.02,0.24,
0.465,0.43,0.49,-1.74,0.37,-0.02,0.24,
0.465,0.43,0.49,-1.74,0.37,-0.02,0.24,
0.474,0.43,0.49,-1.74,0.52,-0.01,0.32,
0.475,0.43,0.49,-1.74,0.52,-0.01,0.32,
0.476,0.51,0.40,-2.15,0.52,-0.01,0.32,
0.476,0.51,0.40,-2.15,0.52,-0.01,0.32,
0.483,0.51,0.40,-2.15,0.68,-0.01,0.41,
0.484,0.51,0.40,-2.15,0.68,-0.01,0.41,
0.484,0.51,0.09,-2.41,0.68,-0.01,0.41,
0.485,0.51,0.09,-2.41,0.68,-0.01,0.41,
0.492,0.51,0.09,-2.41,0.84,-0.02,0.50,
0.493,0.51,0.09,-2.41,0.84,-0.02,0.50,
0.493,0.45,-0.39,-2.49,0.84,-0.02,0.50,
