time,ax,ay,az,wx,wy,wz
5.426,-0.32,0.58,-0.34,0.1,0.08,0.05
5.427,-0.32,0.58,-0.34,0.1,0.08,0.05
5.434,-0.32,0.58,-0.34,0.1,0.08,0.05
5.434,-0.32,0.58,-0.34,0.1,0.08,0.05
5.435,-0.32,0.58,-0.34,0.1,0.08,0.05
5.435,-0.32,0.58,-0.34,0.1,0.08,0.05
5.443,-0.32,0.58,-0.34,-0.04,0.21,0.09
5.444,-0.32,0.58,-0.34,-0.04,0.21,0.09
5.445,-0.4,0.61,-0.37,-0.04,0.21,0.09
5.445,-0.4,0.61,-0.37,-0.04,0.21,0.09
5.461,-0.4,0.61,-0.37,-0.17,0.34,0.14
5.462,-0.4,0.61,-0.37,-0.17,0.34,0.14
5.462,-0.49,0.61,-0.36,-0.17,0.34,0.14
5.462,-0.49,0.61,-0.36,-0.17,0.34,0.14
5.463,-0.49,0.61,-0.36,-0.28,0.46,0.18
5.463,-0.49,0.61,-0.36,-0.28,0.46,0.18
5.463,-0.57,0.59,-0.42,-0.28,0.46,0.18
5.463,-0.57,0.59,-0.42,-0.28,0.46,0.18
5.479,-0.57,0.59,-0.42,-0.35,0.57,0.24
5.479,-0.57,0.59,-0.42,-0.35,0.57,0.24
5.48,-0.6,0.54,-0.53,-0.35,0.57,0.24
5.48,-0.6,0.54,-0.53,-0.35,0.57,0.24
5.486,-0.6,0.54,-0.53,-0.39,0.65,0.29
5.487,-0.6,0.54,-0.53,-0.39,0.65,0.29
5.488,-0.59,0.43,-0.74,-0.39,0.65,0.29
5.488,-0.59,0.43,-0.74,-0.39,0.65,0.29
5.491,-0.59,0.43,-0.74,-0.42,0.72,0.34
5.491,-0.59,0.43,-0.74,-0.42,0.72,0.34
5.492,-0.53,0.22,-1.08,-0.42,0.72,0.34
5.492,-0.53,0.22,-1.08,-0.42,0.72,0.34
5.501,-0.53,0.22,-1.08,-0.46,0.81,0.36
5.502,-0.53,0.22,-1.08,-0.46,0.81,0.36
5.503,-0.46,-0.1,-1.46,-0.46,0.81,0.36
5.504,-0.46,-0.1,-1.46,-0.46,0.81,0.36
5.51,-0.46,-0.1,-1.46,-0.53,0.93,0.32
5.511,-0.46,-0.1,-1.46,-0.53,0.93,0.32
5.511,-0.45,-0.5,-1.9,-0.53,0.93,0.32
5.512,-0.45,-0.5,-1.9,-0.53,0.93,0.32
5.52,-0.45,-0.5,-1.9,-0.61,1.08,0.24
5.521,-0.45,-0.5,-1.9,-0.61,1.08,0.24
5.522,-0.49,-0.95,-2.3,-0.61,1.08,0.24
5.523,-0.49,-0.95,-2.3,-0.61,1.08,0.24
5.529,-0.49,-0.95,-2.3,-0.67,1.25,0.18
5.53,-0.49,-0.95,-2.3,-0.67,1.25,0.18
5.53,-0.57,-1.38,-2.64,-0.67,1.25,0.18
5.531,-0.57,-1.38,-2.64,-0.67,1.25,0.18
5.538,-0.57,-1.38,-2.64,-0.83,1.34,0.12
5.54,-0.57,-1.38,-2.64,-0.83,1.34,0.12
5.541,-0.67,-1.81,-2.9,-0.83,1.34,0.12
5.543,-0.67,-1.81,-2.9,-0.83,1.34,0.12
5.554,-0.67,-1.81,-2.9,-1.1,1.35,0.07
5.555,-0.67,-1.81,-2.9,-1.1,1.35,0.07
5.556,-0.75,-2.2,-3.07,-1.1,1.35,0.07
5.556,-0.75,-2.2,-3.07,-1.1,1.35,0.07
5.558,-0.75,-2.2,-3.07,-1.33,1.42,0.03
5.559,-0.75,-2.2,-3.07,-1.33,1.42,0.03
5.559,-0.73,-2.47,-3.21,-1.33,1.42,0.03
5.56,-0.73,-2.47,-3.21,-1.33,1.42,0.03
5.568,-0.73,-2.47,-3.21,-1.48,1.52,0.02
5.569,-0.73,-2.47,-3.21,-1.48,1.52,0.02
5.569,-0.59,-2.64,-3.32,-1.48,1.52,0.02
5.57,-0.59,-2.64,-3.32,-1.48,1.52,0.02
5.577,-0.59,-2.64,-3.32,-1.57,1.54,0.01
5.578,-0.59,-2.64,-3.32,-1.57,1.54,0.01
5.579,-0.33,-2.6,-3.41,-1.57,1.54,0.01
5.579,-0.33,-2.6,-3.41,-1.57,1.54,0.01
5.586,-0.33,-2.6,-3.41,-1.59,1.52,-0.01
5.587,-0.33,-2.6,-3.41,-1.59,1.52,-0.01
5.588,-0.03,-2.3,-3.45,-1.59,1.52,-0.01
5.588,-0.03,-2.3,-3.45,-1.59,1.52,-0.01
5.596,-0.03,-2.3,-3.45,-1.57,1.45,-0.06
5.596,-0.03,-2.3,-3.45,-1.57,1.45,-0.06
5.597,0.25,-1.76,-3.43,-1.57,1.45,-0.06
5.598,0.25,-1.76,-3.43,-1.57,1.45,-0.06
5.605,0.25,-1.76,-3.43,-1.52,1.35,-0.1
5.607,0.25,-1.76,-3.43,-1.52,1.35,-0.1
5.608,0.49,-0.23,-3.3,-1.52,1.35,-0.1
5.609,0.49,-0.23,-3.3,-1.52,1.35,-0.1
5.616,0.49,-0.23,-3.3,-1.46,1.2,-0.17
5.617,0.49,-0.23,-3.3,-1.46,1.2,-0.17
5.617,0.69,0.27,-3,-1.46,1.2,-0.17
5.618,0.69,0.27,-3,-1.46,1.2,-0.17
5.624,0.69,0.27,-3,-1.39,1.03,-0.3
5.625,0.69,0.27,-3,-1.39,1.03,-0.3
5.626,0.87,0.87,-2.6,-1.39,1.03,-0.3
5.627,0.87,0.87,-2.6,-1.39,1.03,-0.3
5.634,0.87,0.87,-2.6,-1.39,1.03,-0.3
5.634,0.87,0.87,-2.6,-1.39,1.03,-0.3
5.635,0.87,0.87,-2.6,-1.39,1.03,-0.3
5.635,0.87,0.87,-2.6,-1.39,1.03,-0.3
5.644,0.87,0.87,-2.6,-1.29,0.86,-0.42
5.646,0.87,0.87,-2.6,-1.29,0.86,-0.42
5.647,1.13,1.88,-1.62,-1.29,0.86,-0.42
5.648,1.13,1.88,-1.62,-1.29,0.86,-0.42
5.661,1.13,1.88,-1.62,-1.13,0.67,-0.53
5.661,1.13,1.88,-1.62,-1.13,0.67,-0.53
5.661,1.25,2.13,-1.18,-1.13,0.67,-0.53
5.662,1.25,2.13,-1.18,-1.13,0.67,-0.53
5.662,1.25,2.13,-1.18,-0.88,0.44,-0.64
5.662,1.25,2.13,-1.18,-0.88,0.44,-0.64
5.662,1.4,2.21,-0.87,-0.88,0.44,-0.64
5.663,1.4,2.21,-0.87,-0.88,0.44,-0.64
5.678,1.4,2.21,-0.87,-0.52,0.14,-0.75
5.678,1.4,2.21,-0.87,-0.52,0.14,-0.75
5.679,1.59,2.09,-0.73,-0.52,0.14,-0.75
5.679,1.59,2.09,-0.73,-0.52,0.14,-0.75
5.685,1.59,2.09,-0.73,-0.1,-0.2,-0.87
5.686,1.59,2.09,-0.73,-0.1,-0.2,-0.87
5.686,1.85,1.86,-0.82,-0.1,-0.2,-0.87
5.686,1.85,1.86,-0.82,-0.1,-0.2,-0.87
5.691,1.85,1.86,-0.82,0.29,-0.27,-0.85
5.691,1.85,1.86,-0.82,0.29,-0.27,-0.85
5.691,2.17,1.64,-1.08,0.29,-0.27,-0.85
5.692,2.17,1.64,-1.08,0.29,-0.27,-0.85
5.7,2.17,1.64,-1.08,0.31,-0.07,-0.87
5.701,2.17,1.64,-1.08,0.31,-0.07,-0.87
5.702,2.5,1.49,-1.4,0.31,-0.07,-0.87
5.702,2.5,1.49,-1.4,0.31,-0.07,-0.87
5.711,2.5,1.49,-1.4,0.23,-0.07,-1.08
5.712,2.5,1.49,-1.4,0.23,-0.07,-1.08
5.713,2.77,1.48,-1.64,0.23,-0.07,-1.08
5.713,2.77,1.48,-1.64,0.23,-0.07,-1.08
5.719,2.77,1.48,-1.64,0.32,-0.21,-1.31
5.72,2.77,1.48,-1.64,0.32,-0.21,-1.31
5.72,2.86,1.62,-1.73,0.32,-0.21,-1.31
5.721,2.86,1.62,-1.73,0.32,-0.21,-1.31
5.729,2.86,1.62,-1.73,0.25,-0.25,-1.53
5.729,2.86,1.62,-1.73,0.25,-0.25,-1.53
5.73,2.74,1.84,-1.63,0.25,-0.25,-1.53
5.73,2.74,1.84,-1.63,0.25,-0.25,-1.53
5.739,2.74,1.84,-1.63,0.09,-0.24,-1.71
5.739,2.74,1.84,-1.63,0.09,-0.24,-1.71
5.74,2.45,2.15,-1.42,0.09,-0.24,-1.71
